"","X.1","X","Address","Zip","Date","Event","Price","Beds","Baths","SqrFt","LotSize","Time","DaysOnMarket","RollTimeAv"
"143",2526,19608,"22 Laxford Dr, Newark, DE",19702,2016-07-13,"Listed for sale",169900,3,2,1250,2178,40,226,133.6
"144",4368,19661,"222 Bell Ringer Ct, Newark, DE",19702,2016-07-13,"Sold",169900,3,1.5,1375,2178,40,104,91.4666666666667
"145",14717,6932,"379 Pierce Run, Newark, DE",19702,2016-07-13,"Sold",295000,3,2,2600,6534,40,124,96.8
"146",14633,7482,"520 S Twin Lakes Blvd, Newark, DE",19711,2016-07-13,"Sold",290000,3,3.5,2575,2613,40,64,96.8666666666667
"147",7802,22634,"528 Sepia Ct, Newark, DE",19702,2016-07-13,"Listed for sale",299900,4,4,1625,7840,40,93,136.4
"148",10629,14998,"82 Iroquois Ct, Newark, DE",19702,2016-07-13,"Listed for sale",264900,3,3,1803,10019,40,131,139.533333333333
"149",11456,20721,"9 E Shetland Ct, Newark, DE",19711,2016-07-13,"Sold",204000,3,2.5,1875,3049,40,49,93.9333333333333
"150",10315,18353,"9 Tarcote Ct, Newark, DE",19702,2016-07-13,"Listed for sale",209000,4,3,1800,8276,40,378,160.733333333333
"151",12726,242,"11 White Clay Cres, Newark, DE",19711,2016-07-14,"Sold",195000,3,3,2050,6970,41,108,85.3333333333333
"152",4146,19304,"159 Amberfield Ln, Newark, DE",19702,2016-07-14,"Sold",169000,3,2.5,1360,2614,41,75,83.9333333333333
"153",5220,11185,"225 Kenmark Rd, Newark, DE",19713,2016-07-14,"Listed for sale",225000,3,1.5,1450,7840,41,260,172.066666666667
"154",15142,6357,"23 Lynam Lookout Dr, Newark, DE",19702,2016-07-14,"Sold",4e+05,4,3,2900,8712,41,153,87.7333333333333
"155",14075,4340,"35 Sumac Ct, Newark, DE",19702,2016-07-14,"Listed for sale",289000,4,3,2325,9148,41,36,160.266666666667
"156",14575,6900,"371 Latrobe Dr, Newark, DE",19702,2016-07-14,"Listed for sale",285000,3,3,2550,2613,41,313,166
"157",9873,14424,"44 E Shady Dr, Newark, DE",19713,2016-07-14,"Sold",205000,4,1.5,1775,6969,41,73,89.4666666666667
"158",5890,10039,"9 Chaucer Dr, Newark, DE",19713,2016-07-14,"Sold",1e+05,4,2,1500,7500,41,13,84.2666666666667
"159",5711,15171,"908 Linfield Rd, Newark, DE",19713,2016-07-14,"Listed for sale",909000,3,1.5,1475,10018,41,70,165.266666666667
"160",1477,10529,"114 Lynch Farm Dr, Newark, DE",19713,2016-07-15,"Listed for sale",187000,3,1.5,1150,9583,42,115,164.133333333333
"161",2311,8870,"216 Tamara Cir, Newark, DE",19711,2016-07-15,"Sold",199900,3,2,1250,9583,42,101,79.8
"162",3037,9219,"3 Malvern Ave, Newark, DE",19713,2016-07-15,"Sold",136000,3,1,1300,8276,42,162,83.6666666666667
"163",15455,7060,"404 Oregano Ct, Bear, DE",19701,2016-07-15,"Sold",356014,5,4,3319,10454,42,129,88.5333333333333
"164",12443,4903,"539 Canary Dr, Newark, DE",19702,2016-07-15,"Listed for sale",129900,3,2,2000,2178,42,0,158.333333333333
"165",12444,4904,"539 Canary Dr, Newark, DE",19702,2016-07-15,"Sold",140000,3,2,2000,2178,42,0,84.8
"166",12480,5165,"73 Avignon Dr, Newark, DE",19702,2016-07-15,"Sold",248000,4,3,2003,9583,42,71,85.9333333333333
"167",10672,13106,"139 Woodshade Dr, Newark, DE",19702,2016-07-16,"Listed for sale",229000,4,2.5,1825,10454,43,107,163.866666666667
"168",1778,13227,"15 Westerly St, Newark, DE",19713,2016-07-16,"Listed for sale",122900,3,1.5,1200,2178,43,101,156.133333333333
"169",7777,21567,"18 Ann Marie Ct, Newark, DE",19702,2016-07-16,"Listed for sale",204900,3,1.5,1625,2178,43,76,156
"170",14427,6970,"4 Glen Avon Dr, Newark, DE",19702,2016-07-16,"Listed for sale",349900,4,2.5,2450,8276,43,97,147.933333333333
"171",8336,21820,"22 Bastille Loop, Newark, DE",19702,2016-07-17,"Listed for sale",210000,3,3,1650,6970,44,81,138.933333333333
"172",4933,10229,"1017 Old Coochs Bridge Rd, Newark, DE",19713,2016-07-18,"Sold",195000,3,1,1425,7840,45,105,88.7333333333333
"173",3789,10429,"1113 Birchwood Dr, Newark, DE",19713,2016-07-18,"Listed for sale",169900,4,2,1350,7840,45,79,129.133333333333
"174",12620,3346,"160 Hawk Dr, Newark, DE",19702,2016-07-18,"Listed for sale",184900,3,1.5,2025,2178,45,245,139.266666666667
"175",14319,3376,"17 White Dr, Newark, DE",19702,2016-07-18,"Listed for sale",261500,4,2,2400,10018,45,151,140.6
"176",11618,20630,"8 Belfort Loop, Newark, DE",19702,2016-07-18,"Sold",246000,3,3,1900,7840,45,101,88.5333333333333
"177",12500,2311,"926 Devon Dr, Newark, DE",19711,2016-07-18,"Sold",250000,3,2,2022,9148,45,78,85.4666666666667
"178",1716,9751,"69 Madison Dr, Newark, DE",19711,2016-07-19,"Sold",123000,3,1,1200,2613,46,285,100.2
"179",8515,10432,"1114 Mayflower Dr, Newark, DE",19711,2016-07-20,"Listed for sale",217895,3,2,1675,6970,47,61,119.466666666667
"180",8779,9689,"6 N Kingston Rd, Newark, DE",19713,2016-07-20,"Sold",2e+05,3,2,1700,7840,47,62,101.066666666667
"181",6411,10404,"111 Forsythia Dr, Newark, DE",19711,2016-07-21,"Listed for sale",219900,3,2,1550,6969,48,91,108.2
"182",10854,21179,"120 Croom Mills Dr, Hockessin, DE",19707,2016-07-21,"Sold",254000,2,3,1825,3920,48,48,97.0666666666667
"183",6033,21312,"136 Creekmont Ct, Newark, DE",19702,2016-07-21,"Listed for sale",216000,3,3,1500,2613,48,90,111.8
"184",2457,16517,"241 E Green Valley Cir, Newark, DE",19711,2016-07-21,"Listed for sale",139900,2,1.5,1250,2178,48,11,91.6666666666667
"185",6809,14062,"306 Concord Bridge Pl, Newark, DE",19702,2016-07-21,"Listed for sale",135000,3,1.5,1575,1742,48,53,90.5333333333333
"186",356,17005,"328 Barley Dr, Newark, DE",19702,2016-07-21,"Listed for sale",155000,2,1.5,950,2613,48,75,87.8666666666667
"187",12157,22300,"336 N Barrington Ct, Newark, DE",19702,2016-07-21,"Listed for sale",189000,3,2.5,1965,2178,48,40,90.5333333333333
"188",6679,22622,"52 W Kyla Marie Dr, Newark, DE",19702,2016-07-21,"Listed for sale",205000,3,2.5,1550,4791,48,154,93.6666666666667
"189",12334,411,"1222 Pinefield Rd, Newark, DE",19713,2016-07-22,"Sold",215000,4,2,2000,10018,49,49,95.3333333333333
"190",11058,10794,"15 Windflower Dr, Newark, DE",19711,2016-07-22,"Sold",213900,4,1.5,1850,8276,49,175,96.8
"191",15218,3998,"3 Cognac Dr, Newark, DE",19702,2016-07-22,"Listed for sale",289900,5,3,3000,8276,49,66,91.3333333333333
